Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,SoldTime
266,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,Gd,TA,No,GLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,0,GdPrv,0,WD,Normal,20,78.0,12090,6,6,27,27,210.0,588,228,606,1422,1422,0,0,1422,0,0,2,0,3,1,7,1,27.0,2,576,276,0,0,0,0,0,0,6,2008,175500,2008-06-01
267,RL,Pave,0,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,70.0,11207,6,5,9,9,0.0,714,0,88,802,802,709,0,1511,1,0,2,1,3,1,8,1,9.0,2,413,95,75,0,0,0,0,0,6,2006,185000,2006-06-01
268,RL,Pave,0,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,75,60.0,8400,5,8,69,11,0.0,378,0,342,720,1052,720,420,2192,0,0,2,1,4,1,8,1,69.0,1,240,262,24,0,0,0,0,0,7,2008,179500,2008-07-01
269,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Fin,Ex,Ex,Y,0,0,0,WD,Normal,30,71.0,6900,5,6,68,53,0.0,403,125,212,740,778,0,0,778,0,0,1,0,2,1,4,1,42.0,1,924,0,25,0,0,0,0,0,2,2008,120500,2008-02-01
270,RL,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,TA,Gd,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Attchd,RFn,TA,Gd,Y,0,GdPrv,0,WD,Normal,20,0.0,7917,6,7,31,31,174.0,751,0,392,1143,1113,0,0,1113,1,0,1,1,3,1,6,1,20.0,1,504,370,30,0,0,0,0,0,5,2007,148000,2007-05-01
271,FV,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,New,Partial,60,84.0,10728,8,5,0,0,0.0,0,0,1095,1095,1095,844,0,1939,0,0,2,1,3,1,8,1,2020.0,3,1053,192,51,0,0,0,0,0,8,2006,266000,2006-08-01
272,RL,Pave,0,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,Flat,Membran,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,GasA,Ex,Y,SBrkr,TA,Mod,TA,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,73.0,39104,7,7,54,3,0.0,226,1063,96,1385,1363,0,0,1363,1,0,1,0,2,1,5,2,54.0,2,439,81,0,0,0,0,0,0,4,2008,241500,2008-04-01
273,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,92.0,11764,8,7,11,3,348.0,524,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,11.0,3,671,132,57,0,0,0,0,0,4,2010,290000,2010-04-01
274,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,Gd,Y,SBrkr,TA,Min1,Gd,Attchd,RFn,TA,TA,Y,0,MnPrv,0,WD,Normal,20,80.0,9600,6,6,51,21,183.0,620,620,0,1240,1632,0,0,1632,1,0,2,0,3,1,6,1,51.0,1,338,289,0,0,0,0,0,0,4,2009,139000,2009-04-01
275,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,ImStucc,None,TA,TA,CBlock,TA,TA,Gd,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,76.0,8314,5,7,25,25,0.0,546,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,25.0,1,264,168,0,0,0,0,0,0,6,2007,124500,2007-06-01
276,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,BrkTil,TA,TA,No,Unf,Unf,GasW,Gd,N,SBrkr,Ex,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,50,55.0,7264,7,7,84,2,0.0,0,0,952,952,952,596,0,1548,0,0,2,1,3,1,5,0,31.0,2,672,74,0,0,0,144,0,0,10,2009,205000,2009-10-01
277,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,20,129.0,9196,7,5,7,7,0.0,0,0,1560,1560,1560,0,0,1560,0,0,2,0,3,1,7,0,7.0,2,573,100,150,0,0,0,0,0,4,2010,201000,2010-04-01
278,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,140.0,19138,4,5,59,59,0.0,120,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,59.0,2,400,0,0,0,0,0,0,0,6,2010,141000,2010-06-01
279,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,0,0,0,New,Partial,20,107.0,14450,9,5,1,0,315.0,0,0,2121,2121,2121,0,0,2121,0,0,2,1,3,1,8,1,2020.0,3,732,124,98,0,0,142,0,0,5,2007,415298,2007-05-01
280,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,83.0,10005,7,5,31,31,299.0,392,0,768,1160,1156,866,0,2022,0,0,2,1,4,1,8,1,31.0,2,505,288,117,0,0,0,0,0,3,2008,192000,2008-03-01
281,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,Gd,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,82.0,11287,7,6,18,18,340.0,421,0,386,807,1175,807,0,1982,0,0,2,1,3,1,7,1,18.0,2,575,0,84,0,196,0,0,0,1,2007,228500,2007-01-01
282,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,Fin,TA,TA,Y,0,0,0,New,Partial,20,60.0,7200,6,5,0,0,68.0,905,0,357,1262,1262,0,0,1262,0,0,2,0,2,1,5,0,2020.0,2,572,0,120,0,0,0,0,0,5,2006,185000,2006-05-01
283,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,ConLw,Normal,120,34.0,5063,7,5,2,1,166.0,904,0,410,1314,1314,0,0,1314,1,0,2,0,2,1,6,1,1.0,2,626,172,62,0,0,0,0,0,4,2009,207500,2009-04-01
284,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,0,0,0,New,Partial,20,74.0,9612,8,5,1,0,72.0,0,0,1468,1468,1468,0,0,1468,0,0,2,0,3,1,6,1,1.0,3,898,210,150,0,0,0,0,0,12,2009,244600,2009-12-01
285,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Plywood,ImStucc,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,0,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,120,50.0,8012,6,5,15,15,0.0,430,0,1145,1575,1575,0,0,1575,1,0,2,0,2,1,5,0,15.0,2,529,0,0,52,0,0,0,0,7,2007,179200,2007-07-01
286,FV,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,RFn,TA,TA,Y,0,0,0,New,Partial,160,35.0,4251,7,5,1,0,0.0,0,0,625,625,625,625,0,1250,0,0,2,1,2,1,5,0,1.0,2,528,0,54,0,0,0,0,0,6,2007,164700,2007-06-01
287,RL,Pave,0,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,0,GdPrv,0,WD,Normal,50,77.0,9786,6,7,44,25,0.0,600,0,312,912,1085,649,0,1734,0,0,1,1,3,1,7,1,44.0,2,440,0,0,0,0,128,0,0,6,2006,159000,2006-06-01
288,RL,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,0,0,0,0,Y,0,0,0,WD,Normal,20,0.0,8125,4,4,35,35,0.0,614,0,244,858,858,0,0,858,0,0,1,0,3,1,5,0,2006.0,0,0,0,0,0,0,0,0,0,6,2006,88000,2006-06-01
289,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,20,0.0,9819,5,5,43,43,31.0,450,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,40.0,1,280,0,0,0,0,0,0,0,2,2010,122000,2010-02-01
290,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,70,60.0,8730,6,7,92,4,0.0,0,0,698,698,698,698,0,1396,0,0,1,0,3,1,7,0,4.0,1,384,0,0,0,0,259,0,0,7,2007,153575,2007-07-01
291,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,Gd,TA,Y,0,0,0,New,Partial,60,120.0,15611,8,5,0,0,0.0,0,0,1079,1079,1079,840,0,1919,0,0,2,1,3,1,8,1,2020.0,2,685,0,51,0,0,0,0,0,7,2006,233230,2006-07-01
292,RL,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Fa,PConc,TA,Fa,No,Rec,Unf,GasA,Ex,N,SBrkr,Fa,Typ,0,0,0,0,0,N,0,0,0,WD,Normal,190,55.0,5687,5,6,96,8,0.0,210,0,570,780,936,780,0,1716,1,0,2,0,6,1,9,0,2008.0,0,0,0,184,0,0,0,0,0,3,2008,135900,2008-03-01
293,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Gd,Y,SBrkr,TA,Min2,Gd,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,50,60.0,11409,5,4,60,1,0.0,292,0,476,768,1148,568,0,1716,0,0,1,1,3,1,8,1,60.0,1,281,0,0,0,0,160,0,0,1,2009,131000,2009-01-01
294,RL,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,0.0,16659,7,7,29,12,34.0,795,0,0,795,1468,795,0,2263,1,0,2,1,3,1,9,1,29.0,2,539,0,250,0,0,0,0,0,3,2006,235000,2006-03-01
295,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,20,80.0,9600,6,5,56,56,238.0,1285,0,131,1416,1644,0,0,1644,1,0,1,0,3,1,7,2,56.0,2,418,110,0,0,0,0,0,0,10,2009,167000,2009-10-01
296,RL,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,GdPrv,0,WD,Normal,80,37.0,7937,6,6,22,22,0.0,819,0,184,1003,1003,0,0,1003,1,0,1,0,3,1,6,0,22.0,2,588,120,0,0,0,0,0,0,3,2006,142500,2006-03-01
297,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,FuseA,TA,Typ,0,Attchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,50,75.0,13710,5,5,57,57,0.0,420,0,490,910,910,648,0,1558,0,0,1,1,4,1,6,0,57.0,1,282,289,0,0,0,0,0,0,6,2007,152000,2007-06-01
298,FV,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Detchd,RFn,TA,TA,Y,0,0,0,WD,Normal,60,66.0,7399,7,5,10,9,1600.0,649,0,326,975,975,975,0,1950,0,0,2,1,3,1,7,1,10.0,2,576,0,10,0,0,198,0,0,6,2007,239000,2007-06-01
299,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Mansard,CompShg,HdBoard,AsphShn,BrkFace,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,60,90.0,11700,6,6,39,39,365.0,384,175,143,702,1041,702,0,1743,0,1,1,2,3,1,7,1,39.0,2,539,224,0,0,0,0,0,0,6,2007,175000,2007-06-01
300,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,0,GdPrv,0,WD,Family,20,80.0,14000,6,8,59,5,0.0,0,0,1092,1092,1152,0,0,1152,0,1,1,0,3,1,6,1,59.0,1,300,0,36,0,0,0,0,0,8,2009,158500,2009-08-01
301,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,190,90.0,15750,5,5,53,53,56.0,841,0,324,1165,1336,0,0,1336,1,0,1,0,2,1,5,2,53.0,1,375,0,0,0,0,0,0,0,6,2006,157000,2006-06-01
302,RL,Pave,0,IR3,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,0,0,0,WD,Normal,60,66.0,16226,8,5,9,8,0.0,281,0,747,1028,1210,1242,0,2452,0,0,2,1,4,1,9,1,9.0,2,683,208,50,0,0,0,0,0,5,2007,267000,2007-05-01
303,RL,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,118.0,13704,7,5,5,4,150.0,0,0,1541,1541,1541,0,0,1541,0,0,2,0,3,1,6,1,5.0,3,843,468,81,0,0,0,0,0,1,2006,205000,2006-01-01
304,RL,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,Unf,TA,TA,Y,0,GdWo,0,WD,Abnorml,20,70.0,9800,5,7,34,34,0.0,894,0,0,894,894,0,0,894,1,0,1,0,3,1,5,0,31.0,2,552,256,0,0,0,0,0,0,7,2006,149900,2006-07-01
305,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Ex,Attchd,Unf,TA,TA,Y,0,0,0,WD,Normal,75,87.0,18386,7,9,128,6,0.0,0,0,1470,1470,1675,1818,0,3493,0,0,3,0,3,1,10,1,5.0,3,870,302,0,0,0,0,0,0,5,2008,295000,2008-05-01
306,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,20,80.0,10386,8,5,3,2,246.0,1464,0,536,2000,2000,0,0,2000,1,0,2,0,3,1,8,0,3.0,3,888,168,0,0,0,0,0,0,7,2007,305900,2007-07-01
307,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,60,116.0,13474,7,5,17,16,246.0,700,0,0,700,1122,1121,0,2243,1,0,2,1,4,1,8,1,17.0,3,746,127,44,224,0,0,0,0,6,2007,225000,2007-06-01
308,RM,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,Fa,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,FuseA,Fa,Typ,0,0,0,0,0,N,0,MnPrv,0,WD,Normal,50,0.0,7920,6,7,88,58,0.0,0,0,319,319,1035,371,0,1406,0,0,1,0,3,1,6,0,2008.0,0,0,0,144,0,0,0,0,0,3,2008,89500,2008-03-01
309,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,30,0.0,12342,4,5,69,59,0.0,262,0,599,861,861,0,0,861,0,0,1,0,1,1,4,0,48.0,2,539,158,0,0,0,0,0,0,3,2009,82500,2009-03-01
310,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,20,90.0,12378,9,5,3,2,0.0,1274,0,622,1896,1944,0,0,1944,1,0,2,0,3,1,8,3,3.0,3,708,208,175,0,0,0,0,0,11,2006,360000,2006-11-01
311,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,0.0,7685,6,5,13,12,112.0,518,0,179,697,697,804,0,1501,0,0,2,1,3,1,6,1,13.0,2,420,190,63,0,0,0,0,0,5,2006,165600,2006-05-01
312,RL,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,0,0,0,WD,Normal,20,50.0,8000,6,6,61,7,0.0,680,0,292,972,972,0,0,972,1,0,1,0,2,1,5,1,61.0,1,240,0,0,0,0,0,0,0,5,2009,132000,2009-05-01
313,RM,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Mn,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,0,MnPrv,0,WD,Normal,190,65.0,7800,5,7,67,56,0.0,507,0,286,793,793,325,0,1118,1,0,1,0,3,1,5,1,67.0,2,410,0,0,0,0,271,0,0,5,2006,119900,2006-05-01
314,RL,Pave,0,IR3,Low,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Rec,GasW,TA,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,0,0,0,WD,Normal,20,150.0,215245,7,5,44,44,0.0,1236,820,80,2136,2036,0,0,2036,2,0,2,0,3,1,8,2,44.0,2,513,0,0,0,0,0,0,0,6,2009,375000,2009-06-01
315,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,Gd,No,LwQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Detchd,Unf,Fa,TA,Y,0,0,0,WD,Normal,70,60.0,9600,7,7,81,16,0.0,16,0,712,728,832,809,0,1641,0,1,1,1,3,1,6,1,81.0,2,546,0,0,234,0,0,0,0,8,2006,178000,2006-08-01
316,RL,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,0,0,0,WD,Normal,60,71.0,7795,7,5,5,4,0.0,425,0,291,716,716,716,0,1432,1,0,2,1,3,1,6,1,5.0,2,432,100,51,0,0,0,0,0,7,2009,188500,2009-07-01
